Process name: screen_9
Created at: Sun Aug  3 01:53:32 2025

At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:33 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:34 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:35 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:36 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:37 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:38 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:39 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:40 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:41 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:42 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:43 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:44 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:45 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:46 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:47 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:48 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:49 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:49 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:49 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:49 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:49 2025 using core 1 : 33 71
At time : Sun Aug  3 01:53:49 2025 using core 1 : 33 71
